Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn. I (Central West Bay),1,2013,8.112324527448283,0.04420845111020221,0.28712469648801675,0.13213615106666005,1.0,6.8,194.0,5552.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn II (East Bay),1,2013,8.131138567530614,0.04544796667085519,0.28710843669718256,0.13126602142613011,1.0,7.8,320.0,17142.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. IV (Central Bay),1,2013,8.228900497699387,0.04705073306535004,0.2311198792456215,0.13554930809618168,2.0,7.4,281.0,5222.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn V (Northern West Bay),1,2013,8.114128367115354,0.04402209924244683,0.28705244037554256,0.1316914286729413,1.0,7.0,219.0,4294.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn VIII (South Bay),1,2013,8.133189020140174,0.045902501455450634,0.2871806633609333,0.13154935947724547,1.0,7.8,208.0,20885.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XV (San Pedro),1,2013,8.121149127053064,0.04411288199693902,0.28696025508410683,0.1309266228559736,1.0,7.5,926.0,5733.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn.XVI (Sta Rosa),1,2013,8.237250989302138,0.04860872182988112,0.23134612520675502,0.1363562141932083,2.0,7.5,550.0,18190.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVII (Sanctuary),1,2013,8.237444590881825,0.04835852920445067,0.23128504682291173,0.1360359753313497,2.0,7.6,149.0,16268.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVIII (Pagsanjan),1,2013,8.24676976257129,0.04925325254530177,0.23134193178993945,0.13593659178876688,2.0,8.0,296.0,24189.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. I (Central West Bay),2,2013,8.238132443229874,0.04733857182162661,0.23103768444626938,0.13474305958146376,2.0,8.0,112.0,8422.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
