Monitoring Stations,Month,Year,Date,pH (units),Ammonia (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml)
Stn. I (Central West Bay),1,2013,14/01/2013,8.127716117,0.049171985,0.131163395,1,194,5552
Stn II (East Bay),1,2013,14/01/2013,8.115860988,0.049903628,0.131982404,1,320,17142
Stn. IV (Central Bay),1,2013,14/01/2013,8.224080683,0.049629677,0.130970855,2,281,5222
Stn V (Northern West Bay),1,2013,14/01/2013,8.123523738,0.049061584,0.130822023,1,219,4294
Stn VIII (South Bay),1,2013,14/01/2013,8.133663777,0.050262251,0.133243662,1,208,20885
Stn XV (San Pedro),1,2013,14/01/2013,8.024109388,0.048598503,0.126410601,1,926,5733
Stn.XVI (Sta Rosa),1,2013,14/01/2013,8.192679924,0.050345739,0.131051543,2,550,18190
Stn XVII (Sanctuary),1,2013,14/01/2013,8.248494294,0.050528952,0.133397016,2,149,16268
Stn XVIII (Pagsanjan),1,2013,14/01/2013,8.231766364,0.050980198,0.133559288,2,296,24189
Stn. I (Central West Bay),2,2013,04/02/2013,8.249677632,0.049994961,0.132527297,2,112,8422
Stn II (East Bay),2,2013,04/02/2013,8.234376225,0.050134729,0.13220907,2,232,11706
Stn. IV (Central Bay),2,2013,04/02/2013,8.23707324,0.049546727,0.131302139,2,181,2952
Stn V (Northern West Bay),2,2013,04/02/2013,8.230477114,0.049404469,0.130818788,2,222,1429
Stn VIII (South Bay),2,2013,04/02/2013,8.249467593,0.049626058,0.131889046,2,94,3086
Stn XV (San Pedro),2,2013,04/02/2013,8.162025746,0.050240664,0.129755761,2,770,19181
Stn.XVI (Sta Rosa),2,2013,04/02/2013,8.218945243,0.050501864,0.132274786,2,365,18300
Stn XVII (Sanctuary),2,2013,04/02/2013,8.249093318,0.049970431,0.13246409,2,115,8114
Stn XVIII (Pagsanjan),2,2013,04/02/2013,8.171951846,0.049505347,0.128860233,2,658,7696
Stn. I (Central West Bay),3,2013,04/03/2013,8.142327197,0.050314142,0.133647813,1,147,20927
Stn II (East Bay),3,2013,04/03/2013,8.208326524,0.061858456,0.155784842,1,273,183033
Stn. IV (Central Bay),3,2013,04/03/2013,8.24240618,0.051136711,0.134214244,2,226,25587
Stn V (Northern West Bay),3,2013,04/03/2013,8.132102912,0.05027196,0.133203426,1,220,21154
Stn VIII (South Bay),3,2013,04/03/2013,8.154496648,0.051872155,0.136754195,1,140,42537
Stn XV (San Pedro),3,2013,04/03/2013,8.037492564,0.048928409,0.127461845,1,845,9422
Stn.XVI (Sta Rosa),3,2013,04/03/2013,8.212649272,0.04962746,0.13055083,2,365,6128
Stn XVII (Sanctuary),3,2013,04/03/2013,8.248255806,0.050156098,0.132750975,2,131,10877
Stn XVIII (Pagsanjan),3,2013,04/03/2013,8.221968435,0.052356157,0.135554598,2,441,44960
Stn. I (Central West Bay),4,2013,01/04/2013,8.256965743,0.049874718,0.132587125,2,52,6079
Stn II (East Bay),4,2013,01/04/2013,8.270935427,0.051418518,0.135734761,2,31,27335
Stn. IV (Central Bay),4,2013,01/04/2013,8.262270485,0.050554835,0.133942874,2,49,15513
Stn V (Northern West Bay),4,2013,01/04/2013,8.257717326,0.050148966,0.133083292,2,61,9997
Stn VIII (South Bay),4,2013,01/04/2013,8.265636923,0.051569722,0.135800302,2,78,29964
Stn XV (San Pedro),4,2013,01/04/2013,8.22844875,0.051349892,0.134070444,2,340,29826
Stn.XVI (Sta Rosa),4,2013,01/04/2013,8.238408435,0.050279508,0.132603374,2,210,13476
Stn XVII (Sanctuary),4,2013,01/04/2013,8.372771896,0.051786836,0.135588685,3,73,25259
Stn XVIII (Pagsanjan),4,2013,01/04/2013,8.273403151,0.051572504,0.136087838,2,21,29367
Stn. I (Central West Bay),5,2013,06/05/2013,8.287439709,0.053993795,0.140737893,2,46,63351
Stn II (East Bay),5,2013,06/05/2013,8.268388171,0.050800512,0.134585589,2,17,18576
Stn. IV (Central Bay),5,2013,06/05/2013,8.520155779,0.056971005,0.145333293,4,35,89329
Stn V (Northern West Bay),5,2013,06/05/2013,8.305659288,0.060449973,0.15243751,2,254,155543
Stn VIII (South Bay),5,2013,06/05/2013,8.238140874,0.050525458,0.133014059,2,225,17067
Stn XV (San Pedro),5,2013,06/05/2013,8.356011355,0.050912375,0.133483601,3,150,13945
Stn.XVI (Sta Rosa),5,2013,06/05/2013,8.371608338,0.053512635,0.138496404,3,173,50398
Stn XVII (Sanctuary),5,2013,06/05/2013,8.396597708,0.054510747,0.141112482,3,42,62831
Stn XVIII (Pagsanjan),5,2013,06/05/2013,8.271238958,0.051102068,0.135204872,2,12,22718
Stn. I (Central West Bay),6,2013,03/06/2013,8.271864254,0.051170037,0.135343826,2,11,23653
Stn II (East Bay),6,2013,03/06/2013,8.266689462,0.050545716,0.134088187,2,16,15018
Stn. IV (Central Bay),6,2013,03/06/2013,8.268527829,0.050819908,0.13462383,2,17,18846
Stn V (Northern West Bay),6,2013,03/06/2013,8.469649652,0.050862505,0.133052397,4,83,4832
Stn VIII (South Bay),6,2013,03/06/2013,8.230068552,0.050517913,0.132707236,2,284,17620
Stn XV (San Pedro),6,2013,03/06/2013,8.464504217,0.050695236,0.132579114,4,112,2827
Stn.XVI (Sta Rosa),6,2013,03/06/2013,8.368688829,0.050596926,0.133405978,3,40,8327
Stn XVII (Sanctuary),6,2013,03/06/2013,8.178040434,0.053367837,0.140168185,1,46,62309
Stn XVIII (Pagsanjan),6,2013,03/06/2013,8.162286528,0.050519296,0.134725255,1,11,22266
Stn. I (Central West Bay),7,2013,01/07/2013,8.461745736,0.063011365,0.158015609,3,13,180839
Stn II (East Bay),7,2013,01/07/2013,8.269183102,0.051212898,0.135319467,2,33,24495
Stn. IV (Central Bay),7,2013,01/07/2013,8.400654431,0.054394694,0.141061813,3,6,60814
Stn V (Northern West Bay),7,2013,01/07/2013,8.264019136,0.051892384,0.136292955,2,107,34779
Stn VIII (South Bay),7,2013,01/07/2013,8.272933036,0.052677399,0.137959432,2,83,45439
Stn XV (San Pedro),7,2013,01/07/2013,8.276365016,0.052833186,0.138350698,2,66,47418
Stn.XVI (Sta Rosa),7,2013,01/07/2013,8.278850791,0.052480081,0.13783761,2,29,42090
Stn XVII (Sanctuary),7,2013,01/07/2013,8.501388164,0.054458869,0.140355682,4,40,54415
Stn XVIII (Pagsanjan),7,2013,01/07/2013,8.382727045,0.052395606,0.136991801,3,32,33276
Stn. I (Central West Bay),8,2013,05/08/2013,8.274905027,0.051875459,0.136660396,2,26,33640
Stn II (East Bay),8,2013,05/08/2013,8.138902619,0.051688175,0.135871895,1,245,41147
Stn. IV (Central Bay),8,2013,05/08/2013,8.31316166,0.057113165,0.147006731,2,22,106506
Stn V (Northern West Bay),8,2013,05/08/2013,8.582873976,0.051849832,0.134379107,5,74,10804
Stn VIII (South Bay),8,2013,05/08/2013,8.393940444,0.054915531,0.141707666,3,83,68923
Stn XV (San Pedro),8,2013,05/08/2013,8.372104589,0.051184561,0.134534857,3,46,16574
Stn.XVI (Sta Rosa),8,2013,05/08/2013,8.368900158,0.051211369,0.134464004,3,71,17226
